public_code,name_client,name_technical,short_description,visual_description,initial_position,final_position,key_action,recommended_view,exercise_family,category,body_zone,primary_muscle,secondary_muscles,movement_pattern,material_required,difficulty,intensity,impact_level,technical_risk,space_needed,duration_estimate_seconds,reps_estimate,suitable_for,avoid_if,status,source,notes
Z50-EJ-0011,Clamshell de glúteo con banda elástica,Abducción de cadera en decúbito lateral con minibanda,Persona tumbada de lado abre rodilla contra banda,Persona tumbada de lado abre rodilla contra banda,Tumbado lateral con minibanda sobre rodillas,Rodilla superior abierta contra resistencia,Abrir cadera,Lateral,strength,Activación glútea,Tren inferior,Glúteo medio,"{""Core""}",Abducción de cadera,"{""Minibanda""}",beginner,medium,low,low,low,30,,"{""General"",""readaptación""}",{},validated,Biblioteca Maestra Z50,Variante con goma
Z50-EJ-0012,Extensión de glúteo con pierna recta,Extensión de cadera con pierna recta,Persona eleva la pierna recta hacia atrás para activar glúteo,Persona eleva la pierna recta hacia atrás para activar glúteo,"Cuadrupedia o de pie, pierna extendida",Pierna elevada atrás sin arquear lumbar,Extender cadera,Lateral 3/4,strength,Activación glútea,Tren inferior,Glúteo mayor,"{""Isquios"",""lumbar""}",Extensión de cadera,"{""Sin material"",""minibanda""}",beginner,medium,low,medium,low,30,,"{""General"",""readaptación""}",{},review,Biblioteca Maestra Z50,"Confirmar si se realiza en cuadrupedia, de pie o tumbado"
Z50-EJ-0013,Extensión lumbar sobre fitball,Extensión de tronco sobre fitball,Persona apoyada en fitball extiende el tronco controladamente,Persona apoyada en fitball extiende el tronco controladamente,"Cadera/abdomen sobre fitball, tronco flexionado",Tronco alineado y extendido,Extender tronco,Lateral,strength,Core posterior / control,Core,Lumbar,"{""Glúteo"",""isquios""}",Extensión de tronco,"{""Fitball""}",beginner,medium,low,low,low,30,,"{""General""}",{},validated,También unifica alias lumbar bp y lumbar pa según aclaración de Sebas,
Z50-EJ-0014,Crunch abdominal sobre fitball,Crunch sobre fitball,Persona apoyada en fitball flexiona el tronco,Persona apoyada en fitball flexiona el tronco,"Espalda sobre fitball, pies en suelo",Tronco flexionado hacia arriba,Flexionar tronco,Lateral 3/4,strength,Core anterior,Core,Abdominales,"{""Flexores cadera""}",Flexión de tronco,"{""Fitball""}",beginner,medium,low,low,low,30,,"{""General""}",{},validated,Biblioteca Maestra Z50,
Z50-EJ-0015,Crunch lateral sobre fitball,Flexión lateral de tronco sobre fitball,Persona apoyada lateralmente en fitball flexiona el tronco,Persona apoyada lateralmente en fitball flexiona el tronco,"Lateral sobre fitball, pies apoyados",Tronco flexionado lateralmente,Flexionar lateral,Lateral,strength,Core lateral,Core,Oblicuos,"{""Lumbar""}",Flexión lateral,"{""Fitball""}",intermediate,medium,low,low,low,30,,"{""General""}",{},validated,Biblioteca Maestra Z50,
Z50-EJ-0016,Abducción lateral de cadera con banda elástica,Abducción lateral de cadera con minibanda,Persona separa la pierna lateralmente contra la banda,Persona separa la pierna lateralmente contra la banda,"De pie/lateral o tumbado, banda sobre piernas",Pierna separada lateralmente,Abrir pierna,Frontal 3/4,strength,Activación glútea,Tren inferior,Glúteo medio,"{""Core""}",Abducción de cadera,"{""Minibanda""}",beginner,medium,low,low,low,30,,"{""General"",""readaptación""}",{},validated,Biblioteca Maestra Z50,Confirmar posición exacta
Z50-EJ-0017,(Fusionado) Extensión lumbar sobre fitball,Alias fusionado en Z50-EJ-0013,Usar Z50-EJ-0013,Usar Z50-EJ-0013,-,-,-,-,strength,Core / control,Core,Lumbar,{},Extensión de tronco,"{""Fitball""}",beginner,medium,low,medium,low,30,,"{""General""}",{},inactive,Fusionado con Z50-EJ-0013 por aclaración de Sebas,Necesitamos significado de BP
Z50-EJ-0018,Abdominal con fitball en manos y balón medicinal en pies,Crunch abdominal sosteniendo fitball con las manos y balón medicinal en los pies,Persona tumbada eleva el tronco mientras sostiene un fitball en las manos y un balón medicinal en los pies,Persona tumbada eleva el tronco mientras sostiene un fitball en las manos y un balón medicinal en los pies,"Tumbado boca arriba, fitball sujeto con manos, balón medicinal fijado entre los pies o tobillos",Tronco y/o piernas se aproximan manteniendo el control de ambos implementos,Flexionar tronco y coordinar brazos-piernas,Lateral 3/4,strength,Core,Core,Abdominales,"{""Flexores cadera"",""oblicuos""}",Flexión de tronco / coordinación core,"{""Fitball"",""balón medicinal""}",beginner,medium,low,low,low,30,,"{""General""}",{},validated,Aclarado por Sebas,Evitar perder el control del balón medicinal en los pies
Z50-EJ-0019,(Fusionado) Extensión lumbar sobre fitball,Alias fusionado en Z50-EJ-0013,Usar Z50-EJ-0013,Usar Z50-EJ-0013,-,-,-,-,strength,Core / control,Core,Lumbar,{},Extensión de tronco,"{""Fitball""}",beginner,medium,low,medium,low,30,,"{""General""}",{},inactive,Fusionado con Z50-EJ-0013 por aclaración de Sebas,Necesitamos significado de PA en este contexto
Z50-EJ-0020,Abdominal con balón medicinal de 2 kg,Ejercicio abdominal con balón medicinal de 2 kg,Persona realiza un ejercicio abdominal sujetando balón medicinal,Persona realiza un ejercicio abdominal sujetando balón medicinal,Por definir,Por definir,Flexionar/rotar con balón,Frontal 3/4,strength,Core / fuerza resistencia,Core,Abdominales,"{""Oblicuos""}",Core con carga,"{""Balón medicinal 2 kg""}",beginner,medium,low,medium,low,30,,"{""General""}",{},review,Biblioteca Maestra Z50,Confirmar si BM = balón medicinal y la variante exacta
Z50-EJ-0021,Superman en suelo,Extensión alterna/global tipo superman en prono,Persona boca abajo eleva brazos y piernas,Persona boca abajo eleva brazos y piernas,"Tumbado boca abajo, brazos extendidos",Brazos y piernas elevados,Extender cadena posterior,Lateral 3/4,strength,Core posterior,Core,Lumbar,"{""Glúteo"",""hombro""}",Extensión posterior,"{""Sin material""}",beginner,medium,low,low,low,30,,"{""General""}",{},validated,Biblioteca Maestra Z50,
Z50-EJ-0022,Plancha con apoyo de rodillas,Plancha frontal modificada con rodillas apoyadas,Persona mantiene plancha apoyando antebrazos y rodillas,Persona mantiene plancha apoyando antebrazos y rodillas,"Antebrazos y rodillas en suelo, tronco alineado",Mantener alineación,Sostener,Lateral,strength,Core / control,Core,Abdominales,"{""Hombro"",""glúteo""}",Isométrico core,"{""Sin material""}",beginner,medium,low,low,low,30,,"{""General"",""iniciación""}",{},validated,Biblioteca Maestra Z50,
Z50-EJ-0023,Sentadilla al aire,Sentadilla bilateral con peso corporal,Persona baja en sentadilla manteniendo pies apoyados y espalda neutra,Persona baja en sentadilla manteniendo pies apoyados y espalda neutra,"De pie, pies a la anchura de caderas","Cadera baja y rodillas flexionadas, tronco estable",Bajar y subir,Frontal 3/4,strength,Fuerza resistencia,Tren inferior,Cuádriceps,"{""Glúteo""}",Sentadilla,"{""Sin material""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/no-equipment/,Ejercicio base para retos iniciales
Z50-EJ-0024,Sentadilla a silla,Sentadilla asistida tocando una silla,Persona se sienta y se levanta usando una silla como referencia,Persona se sienta y se levanta usando una silla como referencia,De pie delante de una silla,Glúteos tocan la silla sin perder control,Bajar a silla y subir,Lateral 3/4,strength,Fuerza resistencia / control,Tren inferior,Cuádriceps,"{""Glúteo""}",Sentadilla asistida,"{""Silla"",""sin material""}",beginner,low,low,medium,low,30,,"{""Iniciación"",""senior""}",{},draft,https://www.bhf.org.uk/informationsupport/heart-matters-magazine/activity/strength-exercises,Muy útil para clientes con poca experiencia
Z50-EJ-0025,Zancada atrás,Zancada posterior alterna con peso corporal,Persona da un paso atrás y baja la rodilla controladamente,Persona da un paso atrás y baja la rodilla controladamente,"De pie, pies paralelos","Pierna trasera atrás, rodillas flexionadas",Paso atrás y retorno,Lateral 3/4,strength,Fuerza resistencia / estabilidad,Tren inferior,Cuádriceps,"{""Glúteo"",""isquios""}",Zancada,"{""Sin material""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/no-equipment/,Versión más amable que zancada adelante
Z50-EJ-0026,Zancada lateral,Zancada lateral con peso corporal,Persona desplaza el peso hacia un lado flexionando una rodilla,Persona desplaza el peso hacia un lado flexionando una rodilla,"De pie, pies juntos o paralelos","Paso lateral, una rodilla flexionada y otra pierna extendida",Desplazarse lateralmente,Frontal 3/4,mobility,Fuerza resistencia / movilidad,Tren inferior,Glúteo medio,"{""Aductores"",""cuádriceps""}",Zancada lateral,"{""Sin material""}",intermediate,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/no-equipment/,Buen ejercicio para variedad visual
Z50-EJ-0027,Puente de glúteo,Puente de glúteo en suelo,Persona tumbada boca arriba eleva la cadera,Persona tumbada boca arriba eleva la cadera,"Tumbado boca arriba, rodillas flexionadas, pies apoyados",Cadera elevada alineando tronco y muslos,Elevar cadera,Lateral 3/4,strength,Activación glútea,Tren inferior,Glúteo mayor,"{""Isquiotibiales"",""core""}",Extensión de cadera,"{""Sin material""}",beginner,low,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/no-equipment/,Base para progresiones de glúteo
Z50-EJ-0028,Puente de glúteo unilateral,Puente de glúteo a una pierna,Persona eleva la cadera con una pierna extendida,Persona eleva la cadera con una pierna extendida,"Tumbado boca arriba, un pie apoyado y una pierna extendida",Cadera elevada manteniendo una pierna en el aire,Elevar cadera unilateral,Lateral 3/4,strength,Activación glútea / fuerza,Tren inferior,Glúteo mayor,"{""Isquios"",""core""}",Extensión de cadera unilateral,"{""Sin material""}",intermediate,medium_high,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/no-equipment/,Progresión del puente básico
Z50-EJ-0029,Flexión inclinada,Flexión de brazos con manos elevadas en pared o banco,Persona realiza flexiones apoyando las manos en una superficie elevada,Persona realiza flexiones apoyando las manos en una superficie elevada,"Manos apoyadas en pared/silla estable, cuerpo alineado",Codos flexionados acercando pecho a la superficie,Empujar el cuerpo,Lateral 3/4,strength,Fuerza resistencia,Tren superior,Pectoral,"{""Tríceps"",""hombro""}",Empuje horizontal,"{""Pared"",""silla""}",beginner,low,low,medium,low,30,,"{""Iniciación"",""senior""}",{},draft,https://www.bhf.org.uk/informationsupport/heart-matters-magazine/activity/strength-exercises,Versión accesible antes de la flexión en suelo
Z50-EJ-0030,Flexión en suelo,Flexión de brazos estándar,Persona baja y sube el cuerpo apoyada en manos y pies,Persona baja y sube el cuerpo apoyada en manos y pies,"Plancha alta, manos bajo hombros",Pecho cerca del suelo y codos flexionados,Empujar el suelo,Lateral 3/4,strength,Fuerza resistencia,Tren superior,Pectoral,"{""Tríceps"",""hombro"",""core""}",Empuje horizontal,"{""Sin material""}",intermediate,medium_high,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/no-equipment/,Base de tren superior
Z50-EJ-0031,Plancha frontal,Plancha sobre antebrazos,Persona mantiene tronco alineado apoyada en antebrazos,Persona mantiene tronco alineado apoyada en antebrazos,Antebrazos y puntas de pies en suelo,Mantener cuerpo alineado sin hundir lumbar,Sostener,Lateral,strength,Core / control,Core,Abdominales,"{""Hombro"",""glúteo""}",Isométrico core,"{""Sin material""}",beginner,medium,low,medium,low,20,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/no-equipment/,Base para retos de core
Z50-EJ-0032,Plancha lateral,Plancha lateral sobre antebrazo,Persona mantiene el cuerpo de lado apoyada en un antebrazo,Persona mantiene el cuerpo de lado apoyada en un antebrazo,"De lado, antebrazo apoyado, piernas extendidas",Cadera elevada y cuerpo alineado,Sostener lateral,Lateral,strength,Core lateral / estabilidad,Core,Oblicuos,"{""Glúteo medio"",""hombro""}",Isométrico lateral,"{""Sin material""}",intermediate,medium,low,medium,low,20,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/no-equipment/,Visualmente clara para carteles
Z50-EJ-0033,Bird dog,Extensión alterna de brazo y pierna en cuadrupedia,Persona en cuadrupedia extiende brazo y pierna contraria,Persona en cuadrupedia extiende brazo y pierna contraria,"Cuadrupedia, manos y rodillas apoyadas",Brazo y pierna contraria extendidos,Extender y estabilizar,Lateral 3/4,pilates,Core / control motor,Core,Lumbar / core,"{""Glúteo"",""hombro""}",Estabilidad lumbopélvica,"{""Sin material""}",beginner,low,low,medium,low,30,,"{""Readaptación"",""general""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/no-equipment/,Muy útil para salud lumbar
Z50-EJ-0034,Dead bug,Dead bug alterno en suelo,Persona tumbada boca arriba mueve brazo y pierna contraria sin arquear lumbar,Persona tumbada boca arriba mueve brazo y pierna contraria sin arquear lumbar,"Tumbado boca arriba, brazos arriba, caderas y rodillas a 90 grados",Brazo y pierna contraria extendidos controladamente,Extender extremidades y estabilizar,Superior 3/4,strength,Core / control motor,Core,Abdominales profundos,"{""Flexores cadera""}",Anti-extensión core,"{""Sin material""}",beginner,low,low,medium,low,30,,"{""Readaptación"",""general""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/no-equipment/,Excelente para progresiones seguras
Z50-EJ-0035,Mountain climber suave,Mountain climber controlado,Persona en plancha alta lleva rodillas alternas hacia el pecho,Persona en plancha alta lleva rodillas alternas hacia el pecho,"Plancha alta, manos apoyadas",Rodilla se acerca al pecho de forma alterna,Alternar rodillas,Lateral 3/4,cardio_low_impact,Cardio / core,Full body,Core,"{""Hombro"",""flexores cadera""}",Cardio core,"{""Sin material""}",intermediate,medium_high,low,medium,low,20,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/no-equipment/,Usar versión suave para bajo impacto
Z50-EJ-0036,Step jack sin salto,Jumping jack modificado sin impacto,Persona abre y cierra piernas alternando pasos laterales y brazos arriba,Persona abre y cierra piernas alternando pasos laterales y brazos arriba,"De pie, pies juntos, brazos abajo",Paso lateral con brazos elevados,Abrir y cerrar sin salto,Frontal,cardio_low_impact,Cardio / activación,Cardio,Cardiorrespiratorio,"{""Hombro"",""tren inferior""}",Cardio bajo impacto,"{""Sin material""}",beginner,medium,low,medium,low,30,,"{""General"",""senior""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/no-equipment/,Ideal para calentamientos
Z50-EJ-0037,Curl de bíceps con botellas,Curl de bíceps alterno con botellas de agua,Persona flexiona los codos sujetando botellas de agua,Persona flexiona los codos sujetando botellas de agua,"De pie, botella en cada mano, brazos extendidos",Manos suben hacia hombros,Flexionar codos,Frontal 3/4,strength,Fuerza resistencia,Tren superior,Bíceps,"{""Antebrazo""}",Flexión de codo,"{""Botellas de agua""}",beginner,low,low,medium,low,30,,"{""General""}",{},draft,https://www.bhf.org.uk/informationsupport/heart-matters-magazine/activity/strength-exercises,Material casero de bajo coste
Z50-EJ-0038,Press hombro con botellas,Press militar con botellas de agua,Persona empuja botellas desde hombros hacia arriba,Persona empuja botellas desde hombros hacia arriba,"De pie, botellas a la altura de hombros",Brazos extendidos sobre la cabeza,Empujar arriba,Frontal 3/4,strength,Fuerza resistencia,Tren superior,Hombro,"{""Tríceps"",""core""}",Empuje vertical,"{""Botellas de agua""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.hss.edu/health-library/move-better/how-to-exercise-at-home,Controlar zona lumbar
Z50-EJ-0039,Elevaciones laterales con botellas,Elevación lateral de hombro con botellas,Persona eleva brazos lateralmente hasta altura de hombros,Persona eleva brazos lateralmente hasta altura de hombros,"De pie, botellas a los lados",Brazos elevados lateralmente hasta hombros,Elevar lateral,Frontal,strength,Tono hombro / resistencia,Tren superior,Deltoides medio,"{""Trapecio""}",Abducción de hombro,"{""Botellas de agua""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.hss.edu/health-library/move-better/how-to-exercise-at-home,Usar carga ligera
Z50-EJ-0040,Remo con mochila,Remo inclinado con mochila cargada,Persona inclina el tronco y tira de una mochila hacia el abdomen,Persona inclina el tronco y tira de una mochila hacia el abdomen,"De pie, tronco inclinado, mochila sujeta con ambas manos","Mochila cerca del abdomen, codos atrás",Tirar hacia abdomen,Lateral 3/4,yoga,Fuerza resistencia / postura,Tren superior,Dorsal,"{""Romboides"",""bíceps""}",Tracción horizontal,"{""Mochila cargada""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.hss.edu/health-library/move-better/how-to-exercise-at-home,Ajustar carga con libros/botellas
Z50-EJ-0041,Peso muerto rumano con mochila,Bisagra de cadera con mochila cargada,Persona baja la mochila manteniendo espalda neutra y cadera atrás,Persona baja la mochila manteniendo espalda neutra y cadera atrás,"De pie, mochila delante del cuerpo","Cadera atrás, tronco inclinado, rodillas semiflexionadas",Bisagra de cadera,Lateral 3/4,strength,Cadena posterior,Tren inferior,Isquiotibiales,"{""Glúteo"",""lumbar""}",Bisagra,"{""Mochila cargada""}",intermediate,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.hss.edu/health-library/move-better/how-to-exercise-at-home,Enseñar espalda neutra
Z50-EJ-0042,Sentadilla goblet con mochila,Sentadilla sujetando mochila al pecho,Persona realiza sentadilla con mochila abrazada al pecho,Persona realiza sentadilla con mochila abrazada al pecho,"De pie, mochila contra el pecho",Sentadilla controlada con carga delante,Bajar y subir,Frontal 3/4,strength,Fuerza resistencia,Tren inferior,Cuádriceps,"{""Glúteo"",""core""}",Sentadilla con carga anterior,"{""Mochila cargada""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.hss.edu/health-library/move-better/how-to-exercise-at-home,Alternativa casera a kettlebell
Z50-EJ-0043,Fondos en silla,Fondos de tríceps con silla estable,Persona flexiona codos apoyando manos en una silla,Persona flexiona codos apoyando manos en una silla,"Manos en borde de silla, pies apoyados",Codos flexionados y cadera cerca de la silla,Flexionar/extender codos,Lateral 3/4,strength,Fuerza resistencia,Tren superior,Tríceps,"{""Hombro"",""pectoral""}",Empuje / extensión de codo,"{""Silla""}",intermediate,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/,Usar silla estable; cuidado con hombros
Z50-EJ-0044,Step-up a silla baja,Subida a escalón o silla baja estable,Persona sube a una superficie estable y baja controladamente,Persona sube a una superficie estable y baja controladamente,De pie frente a escalón/silla baja,Un pie arriba y cuerpo elevado,Subir y bajar,Lateral 3/4,functional,Fuerza resistencia / funcional,Tren inferior,Cuádriceps,"{""Glúteo"",""gemelos""}",Subida,"{""Escalón"",""silla baja""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/,Preferir escalón estable a silla alta
Z50-EJ-0045,Curl femoral deslizante con toalla,Curl femoral en suelo con toalla o calcetines,Persona tumbada desliza los talones hacia glúteos manteniendo cadera elevada,Persona tumbada desliza los talones hacia glúteos manteniendo cadera elevada,"Tumbado boca arriba, talones sobre toallas, cadera elevada",Talones cerca de glúteos y cadera alta,Deslizar talones,Lateral,strength,Cadena posterior,Tren inferior,Isquiotibiales,"{""Glúteo"",""core""}",Flexión de rodilla deslizante,"{""Toalla"",""calcetines""}",intermediate,medium_high,low,medium,low,30,,"{""General""}",{},draft,https://www.hss.edu/health-library/move-better/how-to-exercise-at-home,En suelo liso; controlar lumbar
Z50-EJ-0046,Plancha con deslizamiento de toalla,Plancha alta deslizando una mano con toalla,Persona en plancha desliza una mano adelante/lateralmente,Persona en plancha desliza una mano adelante/lateralmente,"Plancha alta, una mano sobre toalla",Mano se desliza manteniendo tronco estable,Deslizar y estabilizar,Superior 3/4,strength,Core / estabilidad,Core,Abdominales,"{""Hombro""}",Anti-rotación core,"{""Toalla"",""calcetines""}",intermediate,medium_high,low,medium,low,20,,"{""General""}",{},draft,https://www.hss.edu/health-library/move-better/how-to-exercise-at-home,Progresión avanzada
Z50-EJ-0047,Pallof press con banda,Press Pallof anti-rotación con banda elástica,Persona de lado al anclaje empuja la banda al frente resistiendo la rotación,Persona de lado al anclaje empuja la banda al frente resistiendo la rotación,"De pie lateral al anclaje, banda al pecho",Brazos extendidos al frente sin girar tronco,Empujar y resistir rotación,Frontal 3/4,strength,Core / control,Core,Oblicuos,"{""Glúteo"",""hombro""}",Anti-rotación,"{""Banda elástica""}",intermediate,medium,low,medium,low,30,,"{""General"",""readaptación""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/resistance-bands-cables/,Muy útil para core seguro
Z50-EJ-0048,Face pull con banda,Face pull con banda elástica anclada al frente,Persona tira de la banda hacia la cara con codos altos,Persona tira de la banda hacia la cara con codos altos,"De pie frente al anclaje, brazos extendidos","Manos cerca de la cara, codos abiertos",Tirar hacia la cara,Frontal 3/4,yoga,Postura / espalda alta,Tren superior,Deltoides posterior,"{""Romboides"",""trapecio""}",Tracción horizontal alta,"{""Banda elástica""}",beginner,medium,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/equipment/resistance-bands-cables/,Buen ejercicio preventivo
